,dealer_id,listing_id,name,price,depreciation,reg_date,engine_cap,mileage,vehicle_type,status
0,3844,1028560,Volvo S60 T4 R-Design,,,10-Sep-2020,1969.0,,Luxury,SOLD
1,3844,1021502,Mercedes-Benz C-Class C180,,,27-Feb-2014,1595.0,,Luxury,SOLD
2,3844,1023851,Honda Fit 1.3A G Skyroof (COE till 08/2023),,,04-Aug-2008,1339.0,,Hatchback,SOLD
3,4016,1019801,Mercedes-Benz C-Class C200K (COE till 03/2029),64900.0,8770.0,15-Apr-2009,1796.0,136000.0,Luxury,Available
4,4016,1026210,Honda Stream 1.8A X (COE till 09/2023),12800.0,7040.0,04-Sep-2008,1799.0,240000.0,MPV,Available
5,4016,1037757,Toyota Corolla Altis 1.6A (COE till 11/2023),14500.0,7070.0,28-Nov-2008,1598.0,180000.0,Sedan,Available
6,4016,1040023,Suzuki Swift 1.3A (COE till 05/2024),,,18-May-2009,1328.0,,Hatchback,SOLD
7,4016,1039782,Honda Vezel 1.5A X,52000.0,11670.0,26-Nov-2015,1496.0,82090.0,SUV,Available
8,4016,1023929,Honda Fit 1.3A G (COE till 10/2023),,,24-Oct-2008,1339.0,,Hatchback,SOLD
9,4016,1023012,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),,,11-Nov-2011,1390.0,,Sports,SOLD
10,4016,1031257,Ford Mondeo HB 1.5A GTDI Titanium,,,28-Oct-2015,1498.0,,Hatchback,SOLD
11,4016,1031047,Mitsubishi Lancer 1.6M (COE till 05/2023),,,25-Jun-2008,1584.0,,Sedan,SOLD
12,4016,1029238,Audi A3 Sportback 1.4A TFSI (New 10-yr COE),,,12-Sep-2011,1390.0,,Hatchback,SOLD
13,4016,1021470,Mercedes-Benz C-Class C180K (COE till 08/2029),,,01-Oct-2009,1597.0,,Luxury,SOLD
14,4016,1019810,Honda Stream 1.8A RSZ Sunroof (COE till 12/2024),,,01-Feb-2010,1799.0,,MPV,SOLD
15,3001,1035821,Lexus ES Hybrid ES300h Luxury Sunroof,68800.0,16920.0,18-Sep-2014,2494.0,,Luxury,Available
16,3001,1005327,Audi A3 2.0A TFSI Quattro S-Line (COE till 08/2030),88000.0,9980.0,14-Sep-2010,1984.0,,Hatchback,Available
17,3001,1029260,Volkswagen Golf GTI 5DR Sunroof,167800.0,16960.0,15-Jul-2020,1984.0,20000.0,Sports,Available
18,3001,1019278,Volkswagen Golf 1.4A TSI,55800.0,12110.0,29-Jan-2016,1395.0,68000.0,Hatchback,Available
19,3001,1036266,BMW 5 Series 535i Sunroof (New 10-yr COE),,,11-Sep-2012,2979.0,,Luxury,SOLD
20,3001,1031526,Honda Fit 1.3A G (COE till 07/2023),,,16-Jul-2008,1339.0,,Hatchback,SOLD
21,3001,1023953,Lexus IS250 Luxury (COE till 10/2029),,,15-Oct-2009,2500.0,,Luxury,SOLD
22,3001,1026323,Mercedes-Benz A-Class A250 Sport,,,31-Mar-2016,1991.0,,Hatchback,SOLD
23,3001,1028928,Mercedes-Benz A-Class A180 Style,,,11-May-2016,1595.0,,Hatchback,SOLD
24,3001,983376,Kia Stonic 1.0A EX,,,13-Sep-2019,998.0,,SUV,SOLD
25,1397,1045511,Mercedes-Benz E-Class E200 NGT (COE till 02/2029),52800.0,7230.0,26-Feb-2009,1796.0,,Luxury,Available
26,1397,1025340,Nissan NV200 1.5M,51800.0,7270.0,21-Dec-2018,1461.0,,Van,Available
27,1397,1025331,Nissan NV200 1.5M,50800.0,7130.0,21-Dec-2018,1461.0,,Van,Available
28,1397,1005945,BYD T3 Electric,89800.0,9410.0,24-May-2021,,,Van,Available
29,1397,1042600,Toyota Vios 1.5A E (COE till 08/2023),,,29-Aug-2008,1497.0,,Sedan,SOLD
30,1397,1042594,Renault Kangoo II Express 1.5M (COE till 07/2025),22800.0,6200.0,14-Jul-2010,1461.0,,Van,Available
31,1397,1004072,Honda Civic HB 1.0A VTEC Turbo SE,76800.0,10850.0,27-Dec-2017,988.0,59688.0,Hatchback,Available
32,1397,1020086,Toyota Townace 1.5A,59800.0,6160.0,22-Jul-2021,1496.0,,Van,Available
33,1397,1037175,Mercedes-Benz E-Class E200 NGT (COE till 08/2026),,,25-Aug-2006,1796.0,,Luxury,SOLD
34,1397,1032053,Mitsubishi Fuso Canter 3.0M,80800.0,8480.0,20-May-2021,2998.0,125.0,Truck,Available
35,1397,975399,Nissan NV200 1.5M,,,06-Sep-2018,1461.0,,Van,SOLD
36,1397,1031182,Citroen Berlingo L2 1.6A BlueHDi,39800.0,6950.0,31-Jul-2017,1560.0,75898.0,Van,Available
37,1397,1014046,Nissan Navara NP300 Double-Cab 2.3A,,,10-Oct-2016,2298.0,,Truck,SOLD
